"";"X.."
"20";"4842- Reajuste de Prestações#,4840- Equivalência salarial#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"21";"899- DIREITO CIVIL#,10432- Coisas#,10448- Propriedade#,10455- Aquisição#,10458- Usucapião Extraordinária"
"22";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9997- Atos Administrativos#,10015- Fiscalização"
"23";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5946- ICMS/ Imposto sobre Circulação de Mercadorias"
"24";"195- DIREITO PREVIDENCIÁRIO#,6184- Averbação/Cômputo de tempo de serviço  rural (empregado/empregador)#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)#,10220- Regime Estatutário"
"25";"287- DIREITO PENAL#,9676- Furto Qualificado (Art. 155#,§ 4o.)"
"26";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10064- Saúde#,11884- Fornecimento de Medicamentos#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"27";"7621- Seguro#,9580- Espécies de Contratos#,899- DIREITO CIVIL"
"28";"9616- Empresas#,4993- Recuperação judicial e Falência"
"29";"14- DIREITO TRIBUTÁRIO#,6017- Dívida Ativa (Execução Fiscal)#,7691- Inadimplemento#,5986- Crédito Tributário"
"30";"4993- Recuperação judicial e Falência#,8828- Jurisdição e Competência#,9163- Penhora / Depósito/ Avaliação#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"31";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10305- Gratificações de Atividade"
"32";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10064- Saúde"
"33";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10291- Adicional de Insalubridade"
"34";"899- DIREITO CIVIL#,10432- Coisas#,10444- Posse#,10100- Reintegração de Posse#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8934- Valor da Causa"
"35";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10304- Auxílio-Alimentação"
"36";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios#,10295- Gratificação Incorporada / Quintos e Décimos / VPNI"
"37";"1209- DIREITO PROCESSUAL PENAL#,10635- Progressão de Regime"
"38";"10612- Tipicidade"
"39";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10342- Reajuste de Remuneração#,Soldo#,Proventos ou Pensão"
"40";"287- DIREITO PENAL#,9678- Roubo (art. 157)"
"41";"6017- Dívida Ativa (Execução Fiscal)#,8828- Jurisdição e Competência"
"42";"5990- Extinção do Crédito Tributário#,5994- Compensação#,14- DIREITO TRIBUTÁRIO"
"43";"9148- Liquidação / Cumprimento / Execução#,5632- Prescrição e Decadência#,8893- Atos Processuais"
"44";"6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)"
"45";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,8867- Substituição Processual#,8942- Extinção do Processo Sem Resolução de Mérito"
"46";"1156- DIREITO DO CONSUMIDOR#,7681- Obrigações#,9580- Espécies de Contratos#,9587- Compra e Venda#,9606- Compromisso"
"47";"6094- Benefícios em Espécie#,6107- Auxílio-Acidente (Art. 86)"
"48";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,4839- Sistema Financeiro da Habitação#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"49";"1209- DIREITO PROCESSUAL PENAL#,10655- Honorários Advocatícios"
"50";"195- DIREITO PREVIDENCIÁRIO#,8961- Antecipação de Tutela / Tutela Específica"
"51";"4897- Associação#,9981- Pessoas Jurídicas"
"52";"9196- Liminar#,10051- Ensino Fundamental e Médio#,10029- Ensino Superior#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"53";"1156- DIREITO DO CONSUMIDOR#,7699- Juros de Mora - Legais / Contratuais#,899- DIREITO CIVIL#,10496- Promessa de Compra e Venda"
"54";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,10655- Honorários Advocatícios#,10087- Defensoria Pública"
"55";"899- DIREITO CIVIL#,9580- Espécies de Contratos#,9597- Seguro"
"56";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10120- Intervenção do Estado na Propriedade#,10125- Desapropriação Indireta#,10122- Desapropriação por Utilidade Pública / DL 3.365/1941"
"57";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14- DIREITO TRIBUTÁRIO#,5987- Suspensão da Exigibilidade#,5989- Parcelamento"
"58";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10120- Intervenção do Estado na Propriedade#,10125- Desapropriação Indireta#,10122- Desapropriação por Utilidade Pública / DL 3.365/1941"
"59";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6100- Aposentadoria Especial (Art. 57/8)#,6101- Auxílio por Incapacidade Temporária"
"60";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9050- Preparo/Deserção#,9045- Recurso"
"61";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6095- Aposentadoria por Incapacidade Permanente"
"62";"195- DIREITO PREVIDENCIÁRIO#,5632- Prescrição e Decadência#,6119- RMI - Renda Mensal Inicial#,Reajustes e Revisões Específicas#,6138- Reajustes e Revisões Específicos"
"63";"195- DIREITO PREVIDENCIÁRIO#,6119- RMI - Renda Mensal Inicial#,Reajustes e Revisões Específicas#,6138- Reajustes e Revisões Específicos#,6120- RMI - Renda Mensal Inicial#,6137- Cálculo do fator previdenciário - Lei 9.876/99#,6094- Benefícios em Espécie#,6099- Aposentadoria por Tempo de Serviço (Art. 52/4)"
"64";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10686- Multa Cominatória / Astreintes"
"65";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9045- Recurso"
"66";"14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,5994- Compensação#,6005- Juros/Correção Monetária"
"67";"899- DIREITO CIVIL#,7681- Obrigações#,7690- Adimplemento e Extinção#,7703- Pagamento#,10496- Promessa de Compra e Venda"
"68";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10288- Sistema Remuneratório e Benefícios"
"69";"899- DIREITO CIVIL#,10431- Responsabilidade Civil#,10433- Indenização por Dano Moral#,10438- Dano Ambiental#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8938- Formação#,Suspensão e Extinção do Processo"
"70";"287- DIREITO PENAL#,3603- Crimes Previstos na Legislação Extravagante#,3614- Crimes contra a Ordem Tributária#,10620- Parte Geral#,10612- Tipicidade#,10614- Abolitio Criminis"
"71";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10110- DIREITO AMBIENTAL#,11828- Área de Preservação Permanente"
"72";"14- DIREITO TRIBUTÁRIO#,5946- ICMS/ Imposto sobre Circulação de Mercadorias#,5933- IRPJ/Imposto de Renda de Pessoa Jurídica#,6036- Contribuição Social sobre o Lucro Líquido#,6008- Base de Cálculo"
"73";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10945- Expurgos Inflacionários / Planos Econômicos#,9148- Liquidação / Cumprimento / Execução"
"74";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7619- Consórcio"
"75";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10313- Reajustes de Remuneração#,Proventos ou Pensão#,10220- Regime Estatutário#,10288- Sistema Remuneratório e Benefícios#,10221- Isonomia/Equivalência Salarial#,10307- Revisão Geral Anual (Mora do Executivo - inciso X#,art. 37#,CF 1988)"
"76";"287- DIREITO PENAL#,3632- Crimes de Trânsito"
"77";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,5632- Prescrição e Decadência#,10219- Servidor Público Civil#,10288- Sistema Remuneratório e Benefícios"
"78";"1156- DIREITO DO CONSUMIDOR#,6233- Planos de Saúde"
"79";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,11810- Dever de Informação#,7621- Seguro"
"80";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,9163- Penhora / Depósito/ Avaliação#,14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5933- IRPJ/Imposto de Renda de Pessoa Jurídica"
"81";"899- DIREITO CIVIL#,9580- Espécies de Contratos#,7681- Obrigações#,4805- Previdência privada"
"82";"195- DIREITO PREVIDENCIÁRIO"
"83";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,6017- Dívida Ativa (Execução Fiscal)#,10431- Responsabilidade Civil"
"84";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,3416- Furto#,3417- Furto Qualificado"
"85";"899- DIREITO CIVIL#,5632- Prescrição e Decadência#,7681- Obrigações#,9580- Espécies de Contratos#,4839- Sistema Financeiro da Habitação#,4847- Seguro"
"86";"1156- DIREITO DO CONSUMIDOR#,11974- Cláusulas Abusivas#,7771- Contratos de Consumo#,6233- Planos de Saúde"
"87";"287- DIREITO PENAL#,10620- Parte Geral#,10622- Extinção da Punibilidade#,1209- DIREITO PROCESSUAL PENAL#,7942- Execução Penal e de Medidas Alternativas#,7791- Pena Privativa de Liberdade#,7792- Pena de Multa"
"88";"14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,6008- Base de Cálculo#,10557- Exclusão - IPI"
"89";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10158- FGTS/Fundo de Garantia por Tempo de Serviço#,10370- Concurso Público / Edital"
"90";"195- DIREITO PREVIDENCIÁRIO#,6160- Disposições Diversas Relativas às Prestações#,6094- Benefícios em Espécie#,6114- Benefício Assistencial (Art. 203,V CF/88)"
"91";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10064- Saúde#,11883- Tratamento Médico-Hospitalar#,11884- Fornecimento de Medicamentos"
"92";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,8883- Órgãos Judiciários e Auxiliares da Justiça#,9148- Liquidação / Cumprimento / Execução#,8960- Processo e Procedimento"
"93";"899- DIREITO CIVIL#,1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,9607- Contratos Bancários"
"94";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,9991- Responsabilidade da Administração#,10502- Indenização por Dano Material#,9992- Indenização por Dano Moral"
"95";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10157- Organização Político-administrativa / Administração Pública#,10180- Fundo de Participação dos Municípios#,9997- Atos Administrativos#,10022- Infração Administrativa#,10023- Multas e demais Sanções"
"96";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,10670- Obrigação de Entregar#,10677- Busca e Apreensão"
"97";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10334- Promoção"
"98";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9045- Recurso#,9098-  Cabimento"
"99";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8938- Formação#,Suspensão e Extinção do Processo#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10220- Regime Estatutário#,10223- Enquadramento"
"100";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,899- DIREITO CIVIL#,8893- Atos Processuais#,5632- Prescrição e Decadência#,8938- Formação#,Suspensão e Extinção do Processo#,8942- Extinção do Processo Sem Resolução de Mérito"
"101";"899- DIREITO CIVIL#,10432- Coisas#,10496- Promessa de Compra e Venda"
"102";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,5632- Prescrição e Decadência#,9936- Auto-acusação falsa"
"103";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10419- Liberação de Veículo Apreendido"
"104";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,195- DIREITO PREVIDENCIÁRIO#,9148- Liquidação / Cumprimento / Execução#,9419- Execução Previdenciária#,6094- Benefícios em Espécie#,6118- Aposentadoria por Tempo de Contribuição (Art. 55/6)"
"105";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil"
"106";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,5987- Suspensão da Exigibilidade#,5916- Impostos#,6091- PAES/Parcelamento Especial#,5946- ICMS/ Imposto sobre Circulação de Mercadorias"
"107";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"108";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,10655- Honorários Advocatícios#,8893- Atos Processuais#,8934- Valor da Causa"
"109";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,9148- Liquidação / Cumprimento / Execução#,10673- Requisição de Pequeno Valor - RPV#,8893- Atos Processuais#,8934- Valor da Causa"
"110";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10157- Organização Político-administrativa / Administração Pública#,10166- Conselhos Regionais de Fiscalização Profissional e Afins#,10173- Exercício Profissional#,10167- Registro Profissional"
"111";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,899- DIREITO CIVIL#,10432- Coisas#,10448- Propriedade#,10455- Aquisição#,10458- Usucapião Extraordinária#,7724- REGISTROS PÚBLICOS#,7895- Registro de Imóveis"
"112";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,10655- Honorários Advocatícios"
"113";"899- DIREITO CIVIL#,7947- Fatos Jurídicos#,4701- Ato / Negócio Jurídico#,5632- Prescrição e Decadência#,7681- Obrigações#,9580- Espécies de Contratos"
"114";"899- DIREITO CIVIL#,4805- Previdência privada"
"115";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10219- Servidor Público Civil#,10337- Sistema Remuneratório e Benefícios#,10243- Complementação de Benefício/Ferroviário#,899- DIREITO CIVIL#,5632- Prescrição e Decadência"
"116";"14- DIREITO TRIBUTÁRIO#,6021- Procedimentos Fiscais#,6028- Liberação de Veículo Apreendido#,6029- Perdimento de Bens"
"117";"287- DIREITO PENAL#,3463- Crimes contra a Dignidade Sexual#,3465- Estupro"
"118";"899- DIREITO CIVIL#,9163- Penhora / Depósito/ Avaliação#,7661- Bem de Família (Voluntário)#,9593- Locação de Imóvel#,9592- Fiança"
"119";"899- DIREITO CIVIL#,5632- Prescrição e Decadência#,7681- Obrigações#,9580- Espécies de Contratos#,4805- Previdência privada"
"120";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8960- Processo e Procedimento#,8990- Provas#,10940- Depoimento#,195- DIREITO PREVIDENCIÁRIO#,6181- Tempo de serviço#,6183- Averbação/Cômputo de tempo de serviço de segurado especial (regime de economia familiar)"
"121";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública#,9148- Liquidação / Cumprimento / Execução#,10672- Precatório#,10673- Requisição de Pequeno Valor - RPV"
"122";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,9258- Honorários Periciais#,195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6107- Auxílio-Acidente (Art. 86)#,7757- Auxílio-Doença Acidentário"
"123";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10064- Saúde#,10157- Organização Político-administrativa / Administração Pública#,10166- Conselhos Regionais de Fiscalização Profissional e Afins#,10173- Exercício Profissional"
"124";"899- DIREITO CIVIL#,1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,6233- Planos de Saúde"
"125";"14- DIREITO TRIBUTÁRIO#,6031- Contribuições#,6033- Contribuições Sociais#,6035- Cofins#,6039- PIS#,5986- Crédito Tributário#,6008- Base de Cálculo"
"126";"14- DIREITO TRIBUTÁRIO#,6017- Dívida Ativa (Execução Fiscal)#,5986- Crédito Tributário#,6016- Creditamento#,5916- Impostos#,5946- ICMS/ Imposto sobre Circulação de Mercadorias"
"127";"14- DIREITO TRIBUTÁRIO#,5913- Limitações ao Poder de Tributar#,5915- Isenção#,5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física"
"128";"899- DIREITO CIVIL#,9616- Empresas#,4993- Recuperação judicial e Falência#,9148- Liquidação / Cumprimento / Execução"
"129";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6100- Aposentadoria Especial (Art. 57/8)"
"130";"14- DIREITO TRIBUTÁRIO#,5915- Isenção#,6035- Cofins#,10528- Entidades Sem Fins Lucrativos"
"131";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10417- Sistema Nacional de Trânsito#,10418- CNH - Carteira Nacional de Habilitação"
"132";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10337- Sistema Remuneratório e Benefícios#,10338- Gratificações e Adicionais"
"133";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9148- Liquidação / Cumprimento / Execução#,9450- Fraude à Execução"
"134";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5955- ITCD - Imposto de Transmissão Causa Mortis#,5986- Crédito Tributário#,5990- Extinção do Crédito Tributário#,5993- Decadência"
"135";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10385- Licitações#,10388- Edital"
"136";"195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,6105- Auxílio-Reclusão (Art. 80)#,6120- RMI - Renda Mensal Inicial#,6128- Limitação do salário-de-benefício e da renda mensal inicial"
"137";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,9493- Capacidade Processual"
"138";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8842- Partes e Procuradores#,8843- Assistência Judiciária Gratuita"
"139";"14- DIREITO TRIBUTÁRIO#,5916- Impostos#,5917- IRPF/Imposto de Renda de Pessoa Física#,5922- Retido na fonte"
"140";"899- DIREITO CIVIL#,9616- Empresas#,4993- Recuperação judicial e Falência"
"141";"9148- Liquidação / Cumprimento / Execução#,9149- Valor da Execução / Cálculo / Atualização"
"142";"7771- Contratos de Consumo#,7621- Seguro#,1156- DIREITO DO CONSUMIDOR"
"143";"7771- Contratos de Consumo#,7752- Bancários#,11806- Empréstimo consignado#,1156- DIREITO DO CONSUMIDOR"
"144";"287- DIREITO PENAL#,3415- Crimes contra o Patrimônio#,9689- Apropriação indébita Previdenciária (art. 168-A e Lei 8.212/91)"
"145";"6017- Dívida Ativa (Execução Fiscal)#,5916- Impostos#,14- DIREITO TRIBUTÁRIO#,5953- IPVA - Imposto Sobre Propriedade de Veículos Automotores"
"146";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,195- DIREITO PREVIDENCIÁRIO#,8874- Sucumbência#,10655- Honorários Advocatícios#,8893- Atos Processuais#,9419- Execução Previdenciária"
"147";"9997- Atos Administrativos#,10011- Improbidade Administrativa"
"148";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8990- Provas"
"149";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10337- Sistema Remuneratório e Benefícios"
"150";"899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9582- Alienação Fiduciária"
"151";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10028- Serviços#,10085- Água e/ou Esgoto"
"152";"195- DIREITO PREVIDENCIÁRIO#,6173- Pedidos Genéricos Relativos aos Benefícios em Espécie"
"153";"1156- DIREITO DO CONSUMIDOR#,899- DIREITO CIVIL#,7681- Obrigações#,9580- Espécies de Contratos#,9582- Alienação Fiduciária#,9587- Compra e Venda"
"154";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8938- Formação#,Suspensão e Extinção do Processo#,8829- Competência"
"155";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10655- Honorários Advocatícios#,9518- Efeito Suspensivo / Impugnação / Embargos à Execução"
"156";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8829- Competência#,8938- Formação#,Suspensão e Extinção do Processo"
"157";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10110- DIREITO AMBIENTAL#,11823- Reserva legal"
"158";"14- DIREITO TRIBUTÁRIO#,6011- Fato Gerador/Incidência#,5946- ICMS/ Imposto sobre Circulação de Mercadorias"
"159";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10011- Improbidade Administrativa#,10014- Violação dos Princípios Administrativos"
"160";"14- DIREITO TRIBUTÁRIO#,5986- Crédito Tributário#,5724- Sociedade"
"161";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,12486- Planos de saúde"
"162";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,7752- Bancários"
"163";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8828- Jurisdição e Competência#,8829- Competência#,195- DIREITO PREVIDENCIÁRIO#,6094- Benefícios em Espécie#,7757- Auxílio-Doença Acidentário"
"164";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,8874- Sucumbência#,10658- Custas"
"165";"287- DIREITO PENAL#,5872- Crimes Praticados por Particular Contra a Administração em Geral#,3572- Desobediência#,10612- Tipicidade"
"166";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,11802- Ordem Urbanística#,8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO"
"167";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO#,10324- Militar#,10325- Regime#,10334- Promoção"
"168";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,10656- Honorários Advocatícios em Execução Contra a Fazenda Pública#,8842- Partes e Procuradores#,8874- Sucumbência"
"169";"1156- DIREITO DO CONSUMIDOR#,7771- Contratos de Consumo#,12486- Planos de saúde#,7779- Indenização por Dano Moral"
"170";"1209- DIREITO PROCESSUAL PENAL#,4291- Jurisdição e Competência#,3369- Crimes contra a vida#,9636- Homicídio Simples"
"171";"899- DIREITO CIVIL#,9580- Espécies de Contratos#,9587- Compra e Venda#,10582- Rescisão / Resolução"
"172";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO#,6017- Dívida Ativa (Execução Fiscal)"
